#TYPE Selected.Microsoft.Open.AzureAD.Model.Group
"MailEnabled","DisplayName","Mail","SecurityEnabled"
"True","HR and Benefits","HRandBenefits@vistra.com","False"
"True","*Email - Netherlands - De Silva Group","DSG.nl@vistra.com","False"
"True","*Email - Amsterdam Operational Directors","AMS.Operational.Directors@vistra.com","False"
"True","BSU - Projects","BSU-Projects@vistra.com","False"
"True","Strategy & Services Team","StrategyServicesTeam@vistra.com","False"
"True","Vistra Reading Internal Payroll","VistraReadingInternalPayroll@vistra.com","False"
"True","Project Parrot","ProjectParrot993@vistra.com","False"
"True","Pelican Millogic","PelicanMillogic@vistra.com","False"
"True","Work in progress","Workinprogress@vistra.com","False"
"True","Email - GCM Business Systems Project Team","GCM.BSS@vistra.com","False"
"True","*Email - All Staff Vistra Shenzhen","Email-AllStaffVistraShenZhen@ofiz.onmicrosoft.com","False"
"True","Email - Guernsey Auto Forward Pinnacle","pinnacle.auto.forward.gg@vistra.com","False"
"True","Kierownicy FIO","KierownicyFIO@vistra.com","False"
"True","Tech Dashboard","TechDashboard@vistra.com","False"
"True","Email - HR Managers","Email-HRManagers@vistra.com","False"
"True","*Email - Netherlands - Gazit Energy","Gazit.nl@vistra.com","False"
"True","*Email - Luxembourg Delegation Staff","Email-LuxembourgDelegationStaff@vistra.com","False"
"True","VGML Birthday & Card List","VGMLBirthdayCardList@vistra.com","False"
"True","*Email - UK - GDRUK-ML-Angelo Gordon","angelogordon.uk@vistra.com","False"
"True","ML-SG-BTBVentures","BTBVentures.sg@vistra.com","False"
"True","Email - Dublin - Privacy","Privacy.Ireland@vistra.com","False"
"True","REKLAMACJE","reklamacje@vistra.com","False"
"True","Active Directory","ActiveDirectory@vistra.com","False"
"True","ML-AU-Sydney_FWD","sydneyfwd@vistra.com","False"
"True","bloomberg","bloomberg@ofiz.pl","False"
"True","zz Email - IT Citrix Support Cases","itcsc@vistra.com","False"
"True","Team Damir","TeamDamir@vistra.com","False"
"True","*Email - Jersey Messengers","JerseyMessengers@vistra.com","False"
"True","Email - Hong Kong NovaSage Sales","HKNSSalesTeam@nova-sage.com","False"
"True","AIEC","AlternativeInvestments-15B25Strategy@vistra.com","False"
"True","folder","folder@ofiz.pl","False"
"True","*Email - Luxembourg - CC Holdco","CCHoldco.lux@vistra.com","False"
"True","vodeno.hr@vistra.com","vodeno.hr@vistra.com","False"
"True","*Email - Netherlands - Puffin","Puffin.nl@vistra.com","False"
"True","Team CJ","TeamCJ@vistra.com","False"
"True","APAC Inventory Details","APACInventoryDetails@vistra.com","False"
"True","Email - Crypto Currency","emailcryptocurrency@vistra.com","False"
"True","Sam Cheng","SamCheng@vistra.com","False"
"True","Email - Cologne - DAI.de","DAI.de@vistra.com","False"
"True","MLRO","MLRO@vistra.com","False"
"True","Group MWH VCSCEE","groupmwh.cee@vistra.com","False"
"True","Bristol - developmentrequests","Bristol-developmentrequests@vistra.com","False"
"True","Email - Guernsey Victus","victus.gg@vistra.com","False"
"True","SCG","SCG@vistra.com","False"
"True","siatkowka.vcscee","siatkowka.cee@vistra.com","False"
"True","Capacity Planner","CapacityPlanner@vistra.com","False"
"True","z Vistra CF Reg DEL","zOILRegDEL@oilglobal.com","False"
"True","ViewPoint Change Committee","VPChangeCommittee@vistra.com","False"
"True","Email - Luxembourg - Strategicsolutions AIFM","strategicsolutions.aifm.lux@vistra.com","False"
"True","Global Business Development","GlobalBu@vistra.com","False"
"True","inwestors.nbp","inwestors.nbp@vistra.com","False"
"True","ML-SG-CryptoSwissFund","cryptoswiss.sg@vistra.com","False"
"True","opoka.tfi","opoka.tfi@ofiz.pl","False"
"True","*Email - Netherlands - DZ Invest","DZ.nl@vistra.com","False"
"True","*Email - Netherlands - THCP","THCP.nl@vistra.com","False"
"True","Algonquin","Algonquin.nl@vistra.com","False"
"True","zzEmail - Datacenter Alerts - UK","dcalertsuk@vistra.com","False"
"True","Email - Staff Welfare Committee Vistra Mauritius","staffwelfarecommitteemauritius@vistra.com","False"
"True","All Romania CEE VCS","allromania.cee@vistra.com","False"
"True","Team Brazil","TeamBrazil@vistra.com","False"
"True","Email - London - Primrose","PrimroseLDN@vistra.com","False"
"True","Ipopema.fiz.pay","ipopema.fiz.pay@vistra.com","False"
"True","*email-Amsterdam-MubadalaTreasury","_email-Amsterdam-MubadalaTreasury@vistra.com","False"
"True","ML-SG-Svfl","svfl.sg@vistra.com","False"
"True","*Email - Luxembourg - Vimpelcom","Vimpelcom.Lux@vistra.com","False"
"True","Micha? Bulik","michal.bulik@vistra.pl","False"
"True","payrollwroclaw.vcscee","payrollwroclaw.cee@vistra.com","False"
"True","Payroll IAG VCSCEE","payroll.iag@vistra.com","False"
"True","office.vfsp","office.vfsp@vistra.com","False"
"True","Copy of Neal Fassnacht - Project Planner","CopyofNealFassnacht-ProjectPlanner@vistra.com","False"
"True","Email - Jersey SFSD","SFSD@vistra.com","False"
"True","Email - India Ujwal - Mojo Networks Payroll","mojonetworks.ind@vistra.com","False"
"True","Vistra Payroll AU","payroll.au@vistra.com","False"
"True","Cosec Team","VistraTeam-Cosec@vistra.com","False"
"True","Project Engagement Tracker","ProjectEngagementTracker@vistra.com","False"
"True","Email - ITCL INVIT02","itcl.invit02@vistra.com","False"
"True","Tax & Private Clients","VistraTeam-TaxPrivateClients@vistra.com","False"
"True","Bristol - Dev","Bristol-Dev@vistra.com","False"
