"name";"ipv4address";"operatingsystem";"distinguishedName";"OU"
"AMSSRVXAA01";"10.30.10.79";"Windows Server 2008 R2 Standard";"CN=AMSSRVXAA01,OU=Citrix,OU=Application Servers,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Citrix,OU=Application Servers,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVADFS002";"10.30.10.3";"Windows Server 2008 R2 Standard";"CN=AMSSRVADFS002,OU=IT,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=IT,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVADFS001";"10.30.10.2";"Windows Server 2008 R2 Standard";"CN=AMSSRVADFS001,OU=IT,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=IT,OU=Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX06";"10.30.10.85";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX06,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX01";"10.30.10.80";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX01,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX02";"10.30.10.81";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX02,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX05";"10.30.10.84";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX05,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX009";"10.30.10.88";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX009,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX03";"10.30.10.82";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX03,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX08";"10.30.10.87";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX08,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
