"name";"ipv4address";"description";"operatingSystem";"distinguishedName"
"PLWADC02";"10.10.1.2";"2012 Primary Domain Controller - virtual - DataCenter (PL)";"Windows Server 2012 R2 Datacenter";"CN=PLWADC02,OU=Domain Controllers,DC=trinitycs,DC=com"
"PLWADC05";"10.10.1.15";"2012 Secondary Domain Controller - virtual - Warsaw office (PL)";"Windows Server 2012 R2 Datacenter";"CN=PLWADC05,OU=Domain Controllers,DC=trinitycs,DC=com"
"PLWAAP01";"10.10.1.5";"SERVER (on PLWAHV01) - Application Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAAP01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAFS01";"10.10.1.3";"SERVER (on PLWAHV01) - File Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAFS01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAES01";"10.10.1.10";"SERVER (on PLWAHV01) - Exact Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAES01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWADB01";"10.10.1.51";"SERVER (on PLWAHV01) - SQL Archives";"Windows Server 2012 R2 Datacenter";"CN=PLWADB01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWADC14";"10.10.1.4";"do usuniecia....";"Windows Server® 2008 Standard";"CN=PLWADC14,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWACL01";"10.10.1.21";"SERVER (on PLWAHV01) - Exact Clients PL";"Windows Server 2012 R2 Datacenter";"CN=PLWACL01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWADB10";"10.10.1.60";"Archiwalny. FKF2011c";"Windows Server 2008 R2 Datacenter";"CN=PLWADB10,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWATM08";"10.10.1.48";"TS for AP (Symfonia FKF 2008)";"Windows Server 2012 R2 Datacenter";"CN=PLWATM08,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAAV01";"10.10.1.7";"SERVER (on PLWAHV01) - McAfee AntyVirus Server";"Windows Server 2012 R2 Standard";"CN=PLWAAV01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWADE01";"10.255.1.20";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter";"CN=PLWADE01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWADE02";"10.10.1.61";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter";"CN=PLWADE02,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWATM01";"10.10.1.41";"TS for WA (POLAND)";"Windows Server 2012 R2 Datacenter";"CN=PLWATM01,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLDCBK01";"10.10.1.191";"Backup Server #1";"Windows Server 2012 R2 Datacenter";"CN=PLDCBK01,OU=CEE_DATA_CENTER,DC=trinitycs,DC=com"
"PLWATM10";"10.10.1.50";"TS for LLS (UK)";"Windows Server 2012 R2 Datacenter";"CN=PLWATM10,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWALG01";"10.10.1.69";"SERVER - LanGuard Main Server";"Windows Server 2012 R2 Datacenter";"CN=PLWALG01,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAES04";"10.10.1.14";"SERVER (on PLWAHV01) - SQL2012 Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAES04,OU=_old_to_audit,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAFB01";"10.10.1.72";"RAKS SQL Server (VCS + VFS)";"Windows Server 2012 R2 Standard";"CN=PLWAFB01,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWATM21";"10.10.1.81";"TS for VFS (RAKS)";"Windows Server 2012 R2 Datacenter";"CN=PLWATM21,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWACL03";"10.10.1.23";"TS for CLIENTS (Enova365 Application)";"Windows Server 2012 R2 Datacenter";"CN=PLWACL03,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
