"Name";"ipv4address";"Domain";"location";"canonicalname";"description";"operatingsystem"
"PL-V1304";"10.10.21.71";"Error";"";"";"";""
"PL-V1305";"10.10.21.72";"Error";"";"";"";""
"PL-V1409";"10.10.7.2";"trinitycs.com";;"trinitycs.com/TRINITY/WORKSTATIONS/PL/WA/SPECIAL/PL-V1409";"VIRTUAL SQL2008x32 Płatnik SQL<=>Access converter";"Windows 7 Professional"
"PL-V1501";"10.10.7.255";"trinitycs.com";;"trinitycs.com/TRINITY/WORKSTATIONS/PL/WA/IT/PL-V1501";"IT - Pawel Bednarski";"Windows 7 Professional"
"PL-V1801";"10.10.24.154";"trinitycs.com";;"trinitycs.com/Computers/PL-V1801";"Atrium - Enova acccess";"Windows 7 Professional"
"PLWAAT01";;"Error";"";"";"";""
"PLWAAV01";"10.10.1.7";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAAV01";"SERVER (on PLWAHV01) - McAfee AntyVirus Server";"Windows Server 2012 R2 Standard"
"PLWADB01";"10.10.1.51";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADB01";"SERVER (on PLWAHV01) - SQL Archives";"Windows Server 2012 R2 Datacenter"
"PLWADB10";"10.10.1.60";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADB10";"Archiwalny. FKF2011c";"Windows Server 2008 R2 Datacenter"
"PLWADC14";"10.10.1.4";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADC14";"do usuniecia....";"Windows Server® 2008 Standard"
"PLWADMS04";;"Error";"";"";"";""
"PLWADMS05";;"Error";"";"";"";""
"PLWADMS06";;"Error";"";"";"";""
"PLWAES04";"10.10.1.14";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAES04";"SERVER (on PLWAHV01) - SQL2012 Server";"Windows Server 2012 R2 Datacenter"
"PLWAFB01";"10.10.1.72";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWAFB01";"RAKS SQL Server (VCS + VFS)";"Windows Server 2012 R2 Standard"
"PLWALG01";"10.10.1.69";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWALG01";"SERVER - LanGuard Main Server";"Windows Server 2012 R2 Datacenter"
"PLWAMO02";"10.10.6.2";"Error";"";"";"";""
"PLWAOV01";;"Error";"";"";"";""
"PLWAOV02";;"Error";"";"";"";""
"PLWATM01";"10.10.1.41";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM01";"TS for WA (POLAND)";"Windows Server 2012 R2 Datacenter"
"PLWATM08";"10.10.1.48";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM08";"TS for AP (Symfonia FKF 2008)";"Windows Server 2012 R2 Datacenter"
"PLWATM10";"10.10.1.50";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM10";"TS for LLS (UK)";"Windows Server 2012 R2 Datacenter"
"PLWATM21";"10.10.1.81";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM21";"TS for VFS (RAKS)";"Windows Server 2012 R2 Datacenter"
"PLWAYZ00";;"Error";"";"";"";""
"TEMP_KMU";;"Error";"";"";"";""
"WAWSRVOVS01";;"Error";"";"";"";""
"WAWSRVOVS02";;"Error";"";"";"";""
"WAWSRVSQL003";"10.10.10.23";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL003";"VCS - SQL 2016 Standard Server ARCHIVE";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM101";;"Error";"";"";"";""
"PLWAES01";"10.10.1.10";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAES01";"SERVER (on PLWAHV01) - Exact Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM009";"10.10.10.49";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM009";"VCS - Prague & Bratislava Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVVPN001";;"Error";"";"";"";""
"PLWADC02";"10.10.1.2";"trinitycs.com";;"trinitycs.com/Domain Controllers/PLWADC02";"2012 Primary Domain Controller - virtual - DataCenter (PL)";"Windows Server 2012 R2 Datacenter"
"PLWADE01";"10.255.1.20";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADE01";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter"
"PLWADE02";"10.10.1.61";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADE02";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter"
"PLWAFS01";"10.10.1.3";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAFS01";"SERVER (on PLWAHV01) - File Server";"Windows Server 2012 R2 Datacenter"
